window,n_selected,avg_is_ic,avg_oos_ic,test_start,test_end
87,10,0.032207063968647295,0.03940768975702121,2016-10-19 11:50:00,2016-11-18 15:10:00
88,4,0.04137897396067163,0.04236826268339615,2016-11-18 15:30:00,2016-12-21 03:45:00
89,6,0.03323845240075542,0.037544826558558515,2016-12-21 03:50:00,2017-01-24 11:50:00
90,5,0.02994849196107054,0.03984147138484912,2017-01-24 11:55:00,2017-02-23 20:25:00
91,9,0.027135969582753397,0.029914053530124256,2017-02-23 20:30:00,2017-03-28 00:00:00
92,14,0.037417733369014196,0.022859780942037396,2017-03-28 00:05:00,2017-04-28 03:30:00
93,17,0.031050670138161245,0.05674575319690871,2017-04-28 03:35:00,2017-05-30 10:45:00
94,15,0.03895368806224051,0.023238677856768142,2017-05-30 10:50:00,2017-06-29 15:40:00
95,13,0.032764767993366035,0.05772459107965598,2017-06-29 15:45:00,2017-08-01 03:20:00
96,11,0.04388723068430176,0.031030279872690077,2017-08-01 03:25:00,2017-08-31 06:50:00
97,14,0.04147577590407681,0.033085530406923365,2017-08-31 06:55:00,2017-10-02 14:05:00
98,11,0.04007353192345215,0.05215046268307117,2017-10-02 14:10:00,2017-11-01 18:50:00
99,18,0.03866786418851939,0.053072165364189995,2017-11-01 18:55:00,2017-12-04 05:40:00
100,19,0.03764092502865279,0.031255118749806,2017-12-04 05:45:00,2018-01-05 09:10:00
101,18,0.035721061396371954,0.02461370263559961,2018-01-05 09:15:00,2018-02-06 17:40:00
102,14,0.03952002286842969,0.04076997072664186,2018-02-06 17:45:00,2018-03-09 00:55:00
103,12,0.04588522132250123,0.021067773643372114,2018-03-09 01:00:00,2018-04-11 04:20:00
104,8,0.027916515961425303,0.044944827580442485,2018-04-11 04:25:00,2018-05-11 08:20:00
105,8,0.03438091660056149,0.048702045176673925,2018-05-11 08:25:00,2018-06-12 15:50:00
106,6,0.04508467892867175,0.06263039077024801,2018-06-12 15:55:00,2018-07-13 03:50:00
107,7,0.03942146213482417,0.057031845749814826,2018-07-13 03:55:00,2018-08-14 07:20:00
108,10,0.04756331672465917,0.0402468359925409,2018-08-14 07:25:00,2018-09-13 14:35:00
109,12,0.043470753716298,0.019020198483773617,2018-09-13 14:40:00,2018-10-15 19:35:00
110,12,0.03333980105883859,0.03353385159835212,2018-10-15 19:40:00,2018-11-14 23:20:00
111,4,0.022761793481839963,0.035970091712948626,2018-11-14 23:25:00,2018-12-17 18:35:00
112,7,0.026933669176732265,0.058564936879383286,2018-12-17 18:40:00,2019-01-21 01:35:00
113,5,0.03000073470600544,0.017787287936918868,2019-01-21 01:40:00,2019-02-20 12:35:00
114,4,0.03285586212597738,0.03486291702916325,2019-02-20 12:40:00,2019-03-24 20:20:00
115,9,0.0277075344451426,0.0402600163548162,2019-03-24 20:25:00,2019-04-24 23:50:00
116,18,0.037244855446789175,0.028339001978013985,2019-04-24 23:55:00,2019-05-27 03:20:00
117,20,0.03214128864187811,0.02760409410951744,2019-05-27 03:25:00,2019-06-26 10:35:00
118,20,0.0295819016621988,0.021432879193950462,2019-06-26 10:40:00,2019-07-28 22:35:00
119,13,0.027251609887047064,0.02683845766421432,2019-07-28 22:40:00,2019-08-28 02:05:00
120,2,0.025204640625546268,0.07793583308722773,2019-08-28 02:10:00,2019-09-27 09:20:00
121,6,0.029872860872783916,0.02475756309185782,2019-09-27 09:25:00,2019-10-29 12:50:00
122,6,0.028170938714480523,0.04497238658235681,2019-10-29 12:55:00,2019-11-28 21:20:00
123,9,0.030164098945880315,0.04378251441178235,2019-11-28 21:25:00,2020-01-02 07:50:00
124,14,0.03775821346445091,0.02724211804478504,2020-01-02 07:55:00,2020-02-03 15:05:00
125,13,0.036711483390118205,0.02386784268206207,2020-02-03 15:10:00,2020-03-04 23:35:00
126,12,0.03582843088079507,0.03488596255638295,2020-03-04 23:40:00,2020-04-06 20:10:00
127,8,0.030869494268525456,0.014188874600565829,2020-04-06 20:15:00,2020-05-07 23:40:00
128,8,0.030669869052164324,0.038798303612017714,2020-05-07 23:45:00,2020-06-09 06:55:00
129,8,0.027801120107895684,0.05764515584520098,2020-06-09 07:00:00,2020-07-09 14:10:00
130,6,0.035582371771442585,0.05337325995991196,2020-07-09 14:15:00,2020-08-10 18:55:00
131,10,0.04240309865490071,0.044532989232413965,2020-08-10 19:00:00,2020-09-10 02:10:00
132,11,0.04835744425343667,0.02130656307078748,2020-09-10 02:15:00,2020-10-12 05:40:00
133,12,0.038737151634155524,0.018505569691295343,2020-10-12 05:45:00,2020-11-11 09:10:00
134,12,0.03417611692497359,0.07175689868615488,2020-11-11 09:15:00,2020-12-13 21:10:00
135,13,0.03772329532255093,0.04068470740981741,2020-12-13 21:15:00,2021-01-15 04:10:00
136,13,0.04161265216412059,0.044735565648819385,2021-01-15 04:15:00,2021-02-16 15:10:00
137,14,0.04045309941127267,0.0327887962657557,2021-02-16 15:30:00,2021-03-18 19:55:00
